pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
2916,2915,3229,237,Female,31,Junior high school or below,han,0.0,1,10000.0,1252.5,Urban,3.0,5.0,3.0,2.0,2.0,1,2.0,7.0,1.0,60.0,60.0
2963,2964,3271,240,Male,48,Junior high school or below,han,1.0,2,0.0,1100.0,Rural,5.0,5.0,5.0,3.0,0.0,1,3.0,13.0,0.0,91.0,89.0
2964,2963,3271,240,Female,45,Junior high school or below,han,1.0,2,1200.0,1100.0,Rural,4.0,4.0,1.0,1.0,3.0,1,1.0,13.0,0.0,76.0,68.0
2966,2965,3273,240,Female,33,3-year college,han,0.0,1,40000.0,12300.0,Rural,3.0,3.0,1.0,3.0,1.0,1,4.0,1.0,1.0,55.0,55.0
2965,2966,3273,240,Male,30,Junior high school or below,,1.0,1,0.0,12300.0,Rural,4.0,4.0,4.0,4.0,0.0,1,5.0,1.0,1.0,55.0,55.0
3052,3053,3365,242,Female,46,3-year college,han,0.0,1,22000.0,15000.0,Urban,3.0,1.0,1.0,5.0,1.0,1,5.0,22.0,0.0,78.0,89.0
3053,3052,3365,242,Male,44,Senior high school/secondary school/tec,han,0.0,1,0.0,15000.0,Urban,4.0,5.0,2.0,5.0,1.0,1,1.0,22.0,0.0,71.0,89.0
3057,3058,3368,242,Female,25,Junior high school or below,han,1.0,1,4800.0,4772.0,Urban,4.0,4.0,1.0,2.0,0.5,1,1.0,3.0,1.0,62.0,62.0
3058,3057,3368,242,Male,36,Junior high school or below,han,0.0,1,0.0,4772.0,Urban,4.0,5.0,4.0,5.0,1.0,1,1.0,3.0,1.0,62.0,62.0
2793,3083,3404,238,Female,25,Junior high school or below,han,1.0,1,24000.0,41336.67,Rural,5.0,5.0,1.0,5.0,1.0,1,5.0,3.0,0.0,76.0,67.0
3083,2793,3404,238,Male,33,Junior high school or below,han,1.0,1,0.0,41336.67,Rural,5.0,5.0,5.0,5.0,0.0,1,3.0,3.0,0.0,76.0,89.0
3096,12116,3440,60,Female,25,Junior high school or below,han,0.0,1,11700.0,20000.0,Rural,5.0,5.0,5.0,5.0,1.0,1,5.0,2.0,0.0,52.0,68.0
12116,3096,3440,60,Male,30,Senior high school/secondary school/tec,han,0.0,1,0.0,20000.0,Rural,4.0,5.0,5.0,3.0,0.5,1,3.0,2.0,0.0,52.0,71.0
40,41,3441,227,Male,45,Senior high school/secondary school/tec,,1.0,0,0.0,98500.0,Urban,3.0,1.0,1.0,5.0,1.0,1,3.0,9.0,0.0,80.0,74.0
