pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
856,857,901,228,Female,32,Junior high school or below,han,1,2,,9988.571,Rural,5,5,5,5,4.5,0,4,8,1,69,69
857,856,901,228,Male,37,Junior high school or below,han,1,2,,9988.571,Rural,2,3,3,4,0,0,3,8,1,69,69
863,862,906,228,Male,49,Junior high school or below,han,1,2,,10600,Rural,5,5,5,5,0,0,5,27,0,,
862,863,906,228,Female,49,Junior high school or below,han,1,2,,10600,Rural,3,4,2,4,3,0,4,27,0,,
866,867,908,228,Female,49,Junior high school or below,han,1,2,,1242.667,Rural,3,3,4,5,4.5,0,5,27,0,,
867,866,908,228,Male,49,Junior high school or below,han,1,2,,1242.667,Rural,5,5,5,5,1,0,5,27,0,,
868,869,910,228,Female,43,Junior high school or below,han,0,2,,8492.5,Rural,4,4,4,4,3,0,1,11,0,,
869,868,910,228,Male,41,Senior high school/secondary school/tec,han,1,2,,8492.5,Rural,5,4,4,3,1,0,2,11,0,,
874,875,912,228,Male,47,Junior high school or below,han,1,2,,6666.667,Urban,5,4,5,1,0,0,5,25,,,
875,874,912,228,Female,46,Junior high school or below,han,1,2,,6666.667,Urban,5,5,1,5,2,0,4,25,,,
885,886,920,228,Male,43,Junior high school or below,han,1,2,,1336.667,Rural,5,5,5,2,1,0,3,14,0,,
886,885,920,228,Female,44,4-year college/Bachelor's degree or above,non-han,1,2,,1336.667,Rural,3,3,3,5,3,0,5,14,0,,
892,891,924,228,Female,42,Junior high school or below,han,1,2,,15566,Rural,5,5,5,5,5,0,5,11,0,,
891,892,924,228,Male,43,Junior high school or below,han,1,2,,15566,Rural,4,4,3,5,0.5,0,3,11,0,,
896,895,928,228,Male,43,Senior high school/secondary school/tec,han,1,3,,7971.068,Rural,5,5,5,3,0,0,1,16,0,,
895,896,928,228,Female,46,Junior high school or below,han,0,3,,7971.068,Rural,4,3,3,5,3,0,3,16,0,,
898,897,929,228,Female,30,Junior high school or below,han,1,2,,1825,Rural,5,4,2,5,4,0,5,2,0,,
897,898,929,228,Male,28,Junior high school or below,han,1,2,,1825,Rural,5,4,3,5,0,0,4,2,0,,
901,902,935,228,Male,48,Junior high school or below,han,1,2,,16666.67,Rural,5,5,5,5,1,0,3,20,0,,
902,901,935,228,Female,41,Junior high school or below,han,1,2,,16666.67,Rural,4,4,4,3,1,0,4,20,0,,
